slug,name,h1,seo_title,seo_description,full_gost_name,grade,group_name,thickness_mm,width_mm,state,surface,gost,price_per_kg,lead_time,image_filename
lenta-0-015x75-mm-12kh18n10t-nagartovannaya-gost-4986-79,"Лента 0,015х75 мм 12Х18Н10Т нагартованная ГОСТ 4986-79",сам впишу,сам впишу,сам впишу,"Лента 0,015х75 12Х18Н10Т-Н-НТ-3-В ГОСТ 4986-79",12Х18Н10Т,Коррозионно-стойкие стали,0.015,75,Нагартованная,Обычная,ГОСТ 4986-79,от 13000,Под заказ,lenta-0-015x75-mm-12kh18n10t-nagartovannaya-gost-4986-79.jpg
lenta-0-015x80-mm-12kh18n10t-nagartovannaya-gost-4986-79,"Лента 0,015х80 мм 12Х18Н10Т нагартованная ГОСТ 4986-79",сам впишу,сам впишу,сам впишу,"Лента 0,015х80 12Х18Н10Т-Н-НТ-3-В ГОСТ 4986-79",12Х18Н10Т,Коррозионно-стойкие стали,0.015,80,Нагартованная,Обычная,ГОСТ 4986-79,от 13000,Под заказ,lenta-0-015x80-mm-12kh18n10t-nagartovannaya-gost-4986-79.jpg
lenta-0-015x100-mm-12kh18n10t-nagartovannaya-gost-4986-79,"Лента 0,015х100 мм 12Х18Н10Т нагартованная ГОСТ 4986-79",сам впишу,сам впишу,сам впишу,"Лента 0,015х100 12Х18Н10Т-Н-НТ-3-В ГОСТ 4986-79",12Х18Н10Т,Коррозионно-стойкие стали,0.015,100,Нагартованная,Обычная,ГОСТ 4986-79,от 13000,Под заказ,lenta-0-015x100-mm-12kh18n10t-nagartovannaya-gost-4986-79.jpg
lenta-0-015x120-mm-12kh18n10t-nagartovannaya-gost-4986-79,"Лента 0,015х120 мм 12Х18Н10Т нагартованная ГОСТ 4986-79",сам впишу,сам впишу,сам впишу,"Лента 0,015х120 12Х18Н10Т-Н-НТ-3-В ГОСТ 4986-79",12Х18Н10Т,Коррозионно-стойкие стали,0.015,120,Нагартованная,Обычная,ГОСТ 4986-79,от 13000,Под заказ,lenta-0-015x120-mm-12kh18n10t-nagartovannaya-gost-4986-79.jpg
lenta-0-015x150-mm-12kh18n10t-nagartovannaya-gost-4986-79,"Лента 0,015х150 мм 12Х18Н10Т нагартованная ГОСТ 4986-79",сам впишу,сам впишу,сам впишу,"Лента 0,015х150 12Х18Н10Т-Н-НТ-3-В ГОСТ 4986-79",12Х18Н10Т,Коррозионно-стойкие стали,0.015,150,Нагартованная,Обычная,ГОСТ 4986-79,от 13000,Под заказ,lenta-0-015x150-mm-12kh18n10t-nagartovannaya-gost-4986-79.jpg
lenta-0-015x200-mm-12kh18n10t-nagartovannaya-gost-4986-79,"Лента 0,015х200 мм 12Х18Н10Т нагартованная ГОСТ 4986-79",сам впишу,сам впишу,сам впишу,"Лента 0,015х200 12Х18Н10Т-Н-НТ-3-В ГОСТ 4986-79",12Х18Н10Т,Коррозионно-стойкие стали,0.015,200,Нагартованная,Обычная,ГОСТ 4986-79,от 13000,Под заказ,lenta-0-015x200-mm-12kh18n10t-nagartovannaya-gost-4986-79.jpg
lenta-0-015x250-mm-12kh18n10t-nagartovannaya-gost-4986-79,"Лента 0,015х250 мм 12Х18Н10Т нагартованная ГОСТ 4986-79",сам впишу,сам впишу,сам впишу,"Лента 0,015х250 12Х18Н10Т-Н-НТ-3-В ГОСТ 4986-79",12Х18Н10Т,Коррозионно-стойкие стали,0.015,250,Нагартованная,Обычная,ГОСТ 4986-79,от 13000,Под заказ,lenta-0-015x250-mm-12kh18n10t-nagartovannaya-gost-4986-79.jpg
lenta-0-02x3-mm-12kh18n10t-nagartovannaya-gost-4986-79,"Лента 0,02х3 мм 12Х18Н10Т нагартованная ГОСТ 4986-79",сам впишу,сам впишу,сам впишу,"Лента 0,02х3 12Х18Н10Т-Н-НТ-3-В ГОСТ 4986-79",12Х18Н10Т,Коррозионно-стойкие стали,0.02,3,Нагартованная,Обычная,ГОСТ 4986-79,от 13000,Под заказ,lenta-0-02x3-mm-12kh18n10t-nagartovannaya-gost-4986-79.jpg
lenta-0-02x5-mm-12kh18n10t-nagartovannaya-gost-4986-79,"Лента 0,02х5 мм 12Х18Н10Т нагартованная ГОСТ 4986-79",сам впишу,сам впишу,сам впишу,"Лента 0,02х5 12Х18Н10Т-Н-НТ-3-В ГОСТ 4986-79",12Х18Н10Т,Коррозионно-стойкие стали,0.02,5,Нагартованная,Обычная,ГОСТ 4986-79,от 13000,Под заказ,lenta-0-02x5-mm-12kh18n10t-nagartovannaya-gost-4986-79.jpg
lenta-0-02x8-mm-12kh18n10t-nagartovannaya-gost-4986-79,"Лента 0,02х8 мм 12Х18Н10Т нагартованная ГОСТ 4986-79",сам впишу,сам впишу,сам впишу,"Лента 0,02х8 12Х18Н10Т-Н-НТ-3-В ГОСТ 4986-79",12Х18Н10Т,Коррозионно-стойкие стали,0.02,8,Нагартованная,Обычная,ГОСТ 4986-79,от 13000,Под заказ,lenta-0-02x8-mm-12kh18n10t-nagartovannaya-gost-4986-79.jpg
lenta-0-02x10-mm-12kh18n10t-nagartovannaya-gost-4986-79,"Лента 0,02х10 мм 12Х18Н10Т нагартованная ГОСТ 4986-79",сам впишу,сам впишу,сам впишу,"Лента 0,02х10 12Х18Н10Т-Н-НТ-3-В ГОСТ 4986-79",12Х18Н10Т,Коррозионно-стойкие стали,0.02,10,Нагартованная,Обычная,ГОСТ 4986-79,от 13000,Под заказ,lenta-0-02x10-mm-12kh18n10t-nagartovannaya-gost-4986-79.jpg
lenta-0-02x15-mm-12kh18n10t-nagartovannaya-gost-4986-79,"Лента 0,02х15 мм 12Х18Н10Т нагартованная ГОСТ 4986-79",сам впишу,сам впишу,сам впишу,"Лента 0,02х15 12Х18Н10Т-Н-НТ-3-В ГОСТ 4986-79",12Х18Н10Т,Коррозионно-стойкие стали,0.02,15,Нагартованная,Обычная,ГОСТ 4986-79,от 13000,Под заказ,lenta-0-02x15-mm-12kh18n10t-nagartovannaya-gost-4986-79.jpg
lenta-0-02x20-mm-12kh18n10t-nagartovannaya-gost-4986-79,"Лента 0,02х20 мм 12Х18Н10Т нагартованная ГОСТ 4986-79",сам впишу,сам впишу,сам впишу,"Лента 0,02х20 12Х18Н10Т-Н-НТ-3-В ГОСТ 4986-79",12Х18Н10Т,Коррозионно-стойкие стали,0.02,20,Нагартованная,Обычная,ГОСТ 4986-79,от 13000,Под заказ,lenta-0-02x20-mm-12kh18n10t-nagartovannaya-gost-4986-79.jpg
lenta-0-02x25-mm-12kh18n10t-nagartovannaya-gost-4986-79,"Лента 0,02х25 мм 12Х18Н10Т нагартованная ГОСТ 4986-79",сам впишу,сам впишу,сам впишу,"Лента 0,02х25 12Х18Н10Т-Н-НТ-3-В ГОСТ 4986-79",12Х18Н10Т,Коррозионно-стойкие стали,0.02,25,Нагартованная,Обычная,ГОСТ 4986-79,от 13000,Под заказ,lenta-0-02x25-mm-12kh18n10t-nagartovannaya-gost-4986-79.jpg
lenta-0-02x30-mm-12kh18n10t-nagartovannaya-gost-4986-79,"Лента 0,02х30 мм 12Х18Н10Т нагартованная ГОСТ 4986-79",сам впишу,сам впишу,сам впишу,"Лента 0,02х30 12Х18Н10Т-Н-НТ-3-В ГОСТ 4986-79",12Х18Н10Т,Коррозионно-стойкие стали,0.02,30,Нагартованная,Обычная,ГОСТ 4986-79,от 13000,Под заказ,lenta-0-02x30-mm-12kh18n10t-nagartovannaya-gost-4986-79.jpg
lenta-0-02x40-mm-12kh18n10t-nagartovannaya-gost-4986-79,"Лента 0,02х40 мм 12Х18Н10Т нагартованная ГОСТ 4986-79",сам впишу,сам впишу,сам впишу,"Лента 0,02х40 12Х18Н10Т-Н-НТ-3-В ГОСТ 4986-79",12Х18Н10Т,Коррозионно-стойкие стали,0.02,40,Нагартованная,Обычная,ГОСТ 4986-79,от 13000,Под заказ,lenta-0-02x40-mm-12kh18n10t-nagartovannaya-gost-4986-79.jpg
lenta-0-02x50-mm-12kh18n10t-nagartovannaya-gost-4986-79,"Лента 0,02х50 мм 12Х18Н10Т нагартованная ГОСТ 4986-79",сам впишу,сам впишу,сам впишу,"Лента 0,02х50 12Х18Н10Т-Н-НТ-3-В ГОСТ 4986-79",12Х18Н10Т,Коррозионно-стойкие стали,0.02,50,Нагартованная,Обычная,ГОСТ 4986-79,от 13000,Под заказ,lenta-0-02x50-mm-12kh18n10t-nagartovannaya-gost-4986-79.jpg
lenta-0-02x60-mm-12kh18n10t-nagartovannaya-gost-4986-79,"Лента 0,02х60 мм 12Х18Н10Т нагартованная ГОСТ 4986-79",сам впишу,сам впишу,сам впишу,"Лента 0,02х60 12Х18Н10Т-Н-НТ-3-В ГОСТ 4986-79",12Х18Н10Т,Коррозионно-стойкие стали,0.02,60,Нагартованная,Обычная,ГОСТ 4986-79,от 13000,Под заказ,lenta-0-02x60-mm-12kh18n10t-nagartovannaya-gost-4986-79.jpg
lenta-0-02x75-mm-12kh18n10t-nagartovannaya-gost-4986-79,"Лента 0,02х75 мм 12Х18Н10Т нагартованная ГОСТ 4986-79",сам впишу,сам впишу,сам впишу,"Лента 0,02х75 12Х18Н10Т-Н-НТ-3-В ГОСТ 4986-79",12Х18Н10Т,Коррозионно-стойкие стали,0.02,75,Нагартованная,Обычная,ГОСТ 4986-79,от 13000,Под заказ,lenta-0-02x75-mm-12kh18n10t-nagartovannaya-gost-4986-79.jpg
lenta-0-02x80-mm-12kh18n10t-nagartovannaya-gost-4986-79,"Лента 0,02х80 мм 12Х18Н10Т нагартованная ГОСТ 4986-79",сам впишу,сам впишу,сам впишу,"Лента 0,02х80 12Х18Н10Т-Н-НТ-3-В ГОСТ 4986-79",12Х18Н10Т,Коррозионно-стойкие стали,0.02,80,Нагартованная,Обычная,ГОСТ 4986-79,от 13000,Под заказ,lenta-0-02x80-mm-12kh18n10t-nagartovannaya-gost-4986-79.jpg
lenta-0-02x100-mm-12kh18n10t-nagartovannaya-gost-4986-79,"Лента 0,02х100 мм 12Х18Н10Т нагартованная ГОСТ 4986-79",сам впишу,сам впишу,сам впишу,"Лента 0,02х100 12Х18Н10Т-Н-НТ-3-В ГОСТ 4986-79",12Х18Н10Т,Коррозионно-стойкие стали,0.02,100,Нагартованная,Обычная,ГОСТ 4986-79,от 13000,Под заказ,lenta-0-02x100-mm-12kh18n10t-nagartovannaya-gost-4986-79.jpg
lenta-0-02x120-mm-12kh18n10t-nagartovannaya-gost-4986-79,"Лента 0,02х120 мм 12Х18Н10Т нагартованная ГОСТ 4986-79",сам впишу,сам впишу,сам впишу,"Лента 0,02х120 12Х18Н10Т-Н-НТ-3-В ГОСТ 4986-79",12Х18Н10Т,Коррозионно-стойкие стали,0.02,120,Нагартованная,Обычная,ГОСТ 4986-79,от 13000,Под заказ,lenta-0-02x120-mm-12kh18n10t-nagartovannaya-gost-4986-79.jpg
lenta-0-02x150-mm-12kh18n10t-nagartovannaya-gost-4986-79,"Лента 0,02х150 мм 12Х18Н10Т нагартованная ГОСТ 4986-79",сам впишу,сам впишу,сам впишу,"Лента 0,02х150 12Х18Н10Т-Н-НТ-3-В ГОСТ 4986-79",12Х18Н10Т,Коррозионно-стойкие стали,0.02,150,Нагартованная,Обычная,ГОСТ 4986-79,от 13000,Под заказ,lenta-0-02x150-mm-12kh18n10t-nagartovannaya-gost-4986-79.jpg
lenta-0-02x200-mm-12kh18n10t-nagartovannaya-gost-4986-79,"Лента 0,02х200 мм 12Х18Н10Т нагартованная ГОСТ 4986-79",сам впишу,сам впишу,сам впишу,"Лента 0,02х200 12Х18Н10Т-Н-НТ-3-В ГОСТ 4986-79",12Х18Н10Т,Коррозионно-стойкие стали,0.02,200,Нагартованная,Обычная,ГОСТ 4986-79,от 13000,Под заказ,lenta-0-02x200-mm-12kh18n10t-nagartovannaya-gost-4986-79.jpg
lenta-0-02x250-mm-12kh18n10t-nagartovannaya-gost-4986-79,"Лента 0,02х250 мм 12Х18Н10Т нагартованная ГОСТ 4986-79",сам впишу,сам впишу,сам впишу,"Лента 0,02х250 12Х18Н10Т-Н-НТ-3-В ГОСТ 4986-79",12Х18Н10Т,Коррозионно-стойкие стали,0.02,250,Нагартованная,Обычная,ГОСТ 4986-79,от 13000,Под заказ,lenta-0-02x250-mm-12kh18n10t-nagartovannaya-gost-4986-79.jpg
lenta-0-025x3-mm-12kh18n10t-nagartovannaya-gost-4986-79,"Лента 0,025х3 мм 12Х18Н10Т нагартованная ГОСТ 4986-79",сам впишу,сам впишу,сам впишу,"Лента 0,025х3 12Х18Н10Т-Н-НТ-3-В ГОСТ 4986-79",12Х18Н10Т,Коррозионно-стойкие стали,0.025,3,Нагартованная,Обычная,ГОСТ 4986-79,от 13000,Под заказ,lenta-0-025x3-mm-12kh18n10t-nagartovannaya-gost-4986-79.jpg
lenta-0-025x5-mm-12kh18n10t-nagartovannaya-gost-4986-79,"Лента 0,025х5 мм 12Х18Н10Т нагартованная ГОСТ 4986-79",сам впишу,сам впишу,сам впишу,"Лента 0,025х5 12Х18Н10Т-Н-НТ-3-В ГОСТ 4986-79",12Х18Н10Т,Коррозионно-стойкие стали,0.025,5,Нагартованная,Обычная,ГОСТ 4986-79,от 13000,Под заказ,lenta-0-025x5-mm-12kh18n10t-nagartovannaya-gost-4986-79.jpg
